1993,1548
1994,3370
1995,3506
1996,3649
1997,3681
1998,3724
1999,3725
2000,3705
2001,3876
2002,4115
2003,4227
2004,4297
2005,4289
2006,4251
2007,4250
2008,4239
2009,4262
2010,4241
2011,3891
2012,4272
2013,4499
2014,4480
2015,4440
2016,4509
2017,56
