10:00AM - 10:59AM,F,111
10:00AM - 10:59AM,M,117
10:00AM - 10:59AM,R,50
10:00AM - 10:59AM,S,2
10:00AM - 10:59AM,T,50
10:00AM - 10:59AM,W,111
11:00AM - 11:59AM,F,99
11:00AM - 11:59AM,M,107
11:00AM - 11:59AM,R,137
11:00AM - 11:59AM,S,4
11:00AM - 11:59AM,T,138
11:00AM - 11:59AM,W,112
12:00PM - 12:59PM,F,107
12:00PM - 12:59PM,M,143
12:00PM - 12:59PM,R,145
12:00PM - 12:59PM,S,1
12:00PM - 12:59PM,T,156
12:00PM - 12:59PM,W,146
1:00PM - 1:59PM,F,100
1:00PM - 1:59PM,M,118
1:00PM - 1:59PM,R,63
1:00PM - 1:59PM,S,2
1:00PM - 1:59PM,T,74
1:00PM - 1:59PM,W,131
2:00PM - 2:59PM,F,76
2:00PM - 2:59PM,M,103
2:00PM - 2:59PM,R,137
2:00PM - 2:59PM,S,1
2:00PM - 2:59PM,T,136
2:00PM - 2:59PM,W,114
3:00PM - 3:59PM,F,57
3:00PM - 3:59PM,M,92
3:00PM - 3:59PM,R,134
3:00PM - 3:59PM,T,126
3:00PM - 3:59PM,W,116
4:00PM - 4:59PM,F,38
4:00PM - 4:59PM,M,84
4:00PM - 4:59PM,R,50
4:00PM - 4:59PM,S,1
4:00PM - 4:59PM,T,58
4:00PM - 4:59PM,W,77
5:00PM - 5:59PM,F,7
5:00PM - 5:59PM,H,1
5:00PM - 5:59PM,M,53
5:00PM - 5:59PM,R,63
5:00PM - 5:59PM,S,1
5:00PM - 5:59PM,T,64
5:00PM - 5:59PM,W,46
6:00PM - 6:59PM,F,6
6:00PM - 6:59PM,H,4
6:00PM - 6:59PM,M,68
6:00PM - 6:59PM,R,52
6:00PM - 6:59PM,T,69
6:00PM - 6:59PM,W,54
7:00PM - 7:59PM,F,1
7:00PM - 7:59PM,M,32
7:00PM - 7:59PM,R,31
7:00PM - 7:59PM,S,1
7:00PM - 7:59PM,T,35
7:00PM - 7:59PM,W,37
8:00AM - 8:59AM,F,62
8:00AM - 8:59AM,M,57
8:00AM - 8:59AM,R,74
8:00AM - 8:59AM,S,1
8:00AM - 8:59AM,T,72
8:00AM - 8:59AM,W,76
8:00PM - 8:59PM,M,2
8:00PM - 8:59PM,R,5
8:00PM - 8:59PM,T,3
8:00PM - 8:59PM,W,3
9:00AM - 9:59AM,F,114
9:00AM - 9:59AM,M,160
9:00AM - 9:59AM,R,178
9:00AM - 9:59AM,S,7
9:00AM - 9:59AM,T,180
9:00AM - 9:59AM,W,158
Before 8:00AM,F,3
Before 8:00AM,M,4
Before 8:00AM,R,6
Before 8:00AM,S,1
Before 8:00AM,T,11
Before 8:00AM,W,9
